Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,100,India,5412,Yield,1233,Eggplants (aubergines),2021,2021,kg/ha,17188.3,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1233,Eggplants (aubergines),2022,2022,kg/ha,18911.1,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1233,Eggplants (aubergines),2023,2023,kg/ha,18784.1,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1233,Eggplants (aubergines),2024,2024,kg/ha,19027.4,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1330,Grapes,2010,2010,kg/ha,8277.3,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1330,Grapes,2011,2011,kg/ha,11126.1,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1330,Grapes,2012,2012,kg/ha,19146.6,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1330,Grapes,2013,2013,kg/ha,21042.4,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1330,Grapes,2014,2014,kg/ha,21773.1,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1330,Grapes,2015,2015,kg/ha,21683.3,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1330,Grapes,2016,2016,kg/ha,21229.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1330,Grapes,2017,2017,kg/ha,21328.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1330,Grapes,2018,2018,kg/ha,21007.2,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1330,Grapes,2019,2019,kg/ha,21721.4,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1330,Grapes,2020,2020,kg/ha,21206.7,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1330,Grapes,2021,2021,kg/ha,21664.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1330,Grapes,2022,2022,kg/ha,20865,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1330,Grapes,2023,2023,kg/ha,22130.2,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1330,Grapes,2024,2024,kg/ha,21735.3,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,142,"Groundnuts, excluding shelled",2010,2010,kg/ha,1407.8,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,142,"Groundnuts, excluding shelled",2011,2011,kg/ha,1299.2,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,142,"Groundnuts, excluding shelled",2012,2012,kg/ha,1030,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,142,"Groundnuts, excluding shelled",2013,2013,kg/ha,1759.8,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,142,"Groundnuts, excluding shelled",2014,2014,kg/ha,1556.7,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,142,"Groundnuts, excluding shelled",2015,2015,kg/ha,1489,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,142,"Groundnuts, excluding shelled",2016,2016,kg/ha,1389.1,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,142,"Groundnuts, excluding shelled",2017,2017,kg/ha,1838,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,142,"Groundnuts, excluding shelled",2018,2018,kg/ha,1444.2,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,142,"Groundnuts, excluding shelled",2019,2019,kg/ha,2044.2,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,142,"Groundnuts, excluding shelled",2020,2020,kg/ha,1729.1,A,Official figure,
